"GEOID","Row_num","Name","tree_No","tree_Yes","Decision_Tree","forest_No","forest_Yes","Random_Forest","bayes_No","bayes_Yes","Naive_Bayes","new_blocks_xgboost","XGBoost","Agree","Median_Family_Income","Transp_Public_betw2024","Transp_Walked","est_female_25_29","HH_Nonfamily","Transp_Walked_betw1519","Transp_betw2024","HH_Other","HH_Alone","est_male_25_29","CENTLAT","CENTLON"
"170313018023",2250,"Block Group 3, Census Tract 3018.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.798,0.202,0,1,1.72708868678566e-43,0,0.0238844323903322,0,0,33542,0,44,81,46,13,22,116,34,42,41.8433011,-87.7279502
"170313018033",2251,"Block Group 3, Census Tract 3018.03, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.828,0.172,0,1,1.2314159777563e-49,0,0.0163969025015831,0,0,45429,0,34,90,47,0,17,65,47,20,41.8385223,-87.7303421
"170310302003",2252,"Block Group 3, Census Tract 302, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.734,0.266,0,1,4.15923624515563e-31,0,0.265219539403915,0,0,122031,0,0,22,196,0,63,30,93,84,41.9926485,-87.6676589
"170310306013",2253,"Block Group 3, Census Tract 306.01, Cook County, Illinois",0.0714285714285714,0.928571428571428,1,0.656,0.344,0,1,2.40476062019773e-26,0,0.18460176885128,0,0,93627,0,13,53,623,13,62,79,570,48,41.9890737,-87.6525783
"170310306043",2254,"Block Group 3, Census Tract 306.04, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.736,0.264,0,1,7.70023282335996e-35,0,0.0525337979197502,0,0,19634,8,0,85,428,0,18,0,418,24,41.986431,-87.6559854
"170310307033",2255,"Block Group 3, Census Tract 307.03, Cook County, Illinois",0.625,0.375,0,0.68,0.32,0,1,5.14179699201145e-32,0,0.322929739952087,0,0,57266,23,36,59,544,8,81,64,451,122,41.9799969,-87.6575289
"170310308003",2256,"Block Group 3, Census Tract 308, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.774,0.226,0,1,1.7505667240407e-35,0,0.0583999380469322,0,0,84659,13,18,81,283,18,49,51,175,49,41.9789928,-87.6641249
"170310309003",2257,"Block Group 3, Census Tract 309, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.77,0.23,0,1,3.99864764821416e-35,0,0.574716746807098,1,0,104875,0,30,152,232,0,22,59,183,153,41.9788883,-87.6713526
"170310310003",2258,"Block Group 3, Census Tract 310, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.598,0.402,0,1,7.60814030778066e-29,0,0.540920913219452,1,0,106719,63,65,82,459,31,88,71,335,68,41.9709282,-87.672065
"170313108003",2259,"Block Group 3, Census Tract 3108, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.752,0.248,0,2.68239914366581e-12,0.999999999997318,1,0.143240362405777,0,0,60174,0,52,168,390,0,23,167,308,103,41.8541114,-87.6685257
"170313109003",2260,"Block Group 3, Census Tract 3109, Cook County, Illinois",0.375,0.625,1,0.65,0.35,0,1,2.0779439790287e-28,0,0.0819054394960403,0,0,36000,72,64,138,141,0,207,176,54,78,41.8560959,-87.6771658
"170310313003",2261,"Block Group 3, Census Tract 313, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.786,0.214,0,1,2.83711404529073e-28,0,0.0268366206437349,0,0,32042,39,33,0,127,0,39,32,89,0,41.9748703,-87.6546144
"170310315013",2262,"Block Group 3, Census Tract 315.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.816,0.184,0,1,1.04001771926272e-40,0,0.0200724024325609,0,0,20208,13,63,77,291,0,45,72,235,51,41.966369,-87.6516447
"170310315023",2263,"Block Group 3, Census Tract 315.02, Cook County, Illinois",0.933333333333333,0.0666666666666667,0,0.704,0.296,0,1,1.10336588210922e-26,0,0.0126116294413805,0,0,42500,18,10,25,676,10,65,187,588,51,41.9649734,-87.6523935
"170310317003",2264,"Block Group 3, Census Tract 317, Cook County, Illinois",0.933333333333333,0.0666666666666667,0,0.614,0.386,0,1,4.20189301512097e-21,0,0.312566101551056,0,0,95489,19,14,181,558,14,96,74,392,184,41.9644337,-87.6631048
"170310321003",2265,"Block Group 3, Census Tract 321, Cook County, Illinois",0.869565217391304,0.130434782608696,0,0.444,0.556,1,1,1.9095730994224e-17,0,0.643018245697021,1,0,123482,0,43,115,816,0,0,0,590,102,41.9568329,-87.6547062
"170313907003",2267,"Block Group 3, Census Tract 3907, Cook County, Illinois",0.933333333333333,0.0666666666666667,0,0.294,0.706,1,0.999999998858508,1.14149213387582e-09,0,0.810878932476044,1,0,114338,134,95,260,918,0,266,151,639,355,41.8064072,-87.5793144
"170310401003",2268,"Block Group 3, Census Tract 401, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.806,0.194,0,1,2.27575344323737e-36,0,0.0553174428641796,0,0,102500,0,16,9,83,0,65,21,74,41,41.9776445,-87.6855899
"170310402023",2269,"Block Group 3, Census Tract 402.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.758,0.242,0,1,1.9159400108799e-32,0,0.145859599113464,0,0,71337,0,17,79,324,0,33,110,270,85,41.9802548,-87.6956503
